"Title","Subtitle","Downloads"
"Acids, Alkalis and Salts","George Henry Joseph Adlam","104"
"Inventors & Inventions","Henry Robinson","103"
"Computers on the Farm","Deborah Takiff Smith","103"
"Common-Sense Papers on Cookery","A. G. Payne","103"
"The story of paper-making :  an account of paper-making from its earliest known record down to the present time","Frank Osgood Butler","103"
"Appletons' Popular Science Monthly, December 1898","Various","103"
"Scientific American Supplement No. 819, September 12, 1891","Various","103"
"The Project Gutenberg Web Pages","Project Gutenberg","102"
"Digital PDP15 Price List, April, 1970","Digital Equipment Corporation","102"
"Elements of woodwork","Charles A. King","102"
"The Scientific Monthly, October to December, 1915","Various","102"
"Garment cutting in the twentieth century :  Consisting of a series of articles on garment cutting and making","Günther F. Hertzer","102"
"Experimental glass blowing for boys","Carleton John Lynde","101"
"The Young Wireless Operator—As a Fire Patrol","Lewis E. Theiss","101"
"Practical Cinematography and Its Applications","Frederick Arthur Ambrose Talbot","101"
"The life of Isambard Kingdom Brunel, Civil Engineer","Isambard Brunel","101"
"How to Make Electrical Machines","R. A. R. Bennett","101"
"How to make rugs","Candace Wheeler","101"
"What Every Housewife Should Know About Electric Cooking (1945)","General Motors Corporation. Frigidaire Division","100"
"Appletons' Popular Science Monthly, April 1899","Various","100"
"Philipp Reis: Inventor of the Telephone","Silvanus P. Thompson","100"
"The story of rope :  The history and the modern development of rope-making","Plymouth Cordage Company","99"
"The instinct of workmanship, and the state of industrial arts","Thorstein Veblen","99"
"Stories of Inventors: The Adventures of Inventors and Engineers","Russell Doubleday","99"
"The Pyrotechnist's Treasury; Or, Complete Art of Making Fireworks","Thomas Kentish","99"
"Steam Shovels and Steam Shovel Work","Edward Adolph Hermann","99"
"The story of rope :  The history and the modern development of rope-making","Plymouth Cordage Company","99"
"Home labor saving devices","Rhea C. Scott","99"
"Home-made Electrical Apparatus","Alfred Powell Morgan","99"
"A New Century of Inventions","James White","98"
"Paint & Colour Mixing","Arthur Seymour Jennings","98"
"Appletons' Popular Science Monthly, November 1898","Various","97"
"USAF Fact Sheet 95-03","United States. Air Force","97"
"The Art and Practice of Silver Printing","H. P. Robinson and Sir William de Wiveleslie Abney","97"
"Piece Goods Manual","A. E. Blanco","97"
"Condiments, Spices and Flavors","Mary Elizabeth Green","97"
"Scientific American Supplement, No. 484, April 11, 1885","Various","96"
"The Valuation of Public Service Corporation Property","Henry Earle Riggs","96"
"Flat Machine Knitting and Fabrics","H. D. Buck","96"
"A Text-book of Paper-making","C. F. Cross and E. J. Bevan","96"
"Railway Shop Up to Date","N/A","95"
"Shafting, Pulleys, Belting and Rope Transmission","Hubert E. Collins","95"
"Transactions of the American Society of Civil Engineers, Vol. LXVIII, Sept. 1910","E. B. Temple","95"
"Hints on the Use and Handling of Firearms Generally, and the Revolver in Particular","H. Onslow Curling","95"
"Une courte histoire de l'eBook (French)","Marie Lebert","95"
"Hephæstus :  or, The soul of the machine","E. E. Fournier d'Albe","95"
"Printing Telegraphy... A New Era Begins","Edward E. Kleinschmidt","94"
"A Catechism of the Steam Engine","C. E. John Bourne","94"
"Manufacturing Cost Data on Artificial Ice","Otto Luhr and Herman Friedl","94"
"A Rudimentary Treatise on Clocks, Watches and Bells","Baron Edmund Beckett Grimthorpe","94"
"Printing Telegraphy... A New Era Begins","Edward E. Kleinschmidt","94"
"Rudimentary Treatise on the Construction of Locks","George Dodd and A. C. Hobbs","94"
"Elementary Course in Woodwork","George Alexander Ross","94"
"Modern Copper Smelting","Donald M. Levy","93"
"Discoveries and Inventions of the Nineteenth Century","Robert Routledge","93"
"La Cryptographie, ou, l'art d'écrire en chiffres (French)","P. L. Jacob","93"
"The modern packing house :  A complete treatise on the design, construction, equipment and operation of meat packing houses, according to present American praactice, including methods of converting by-products into commercial articles","F. W. Wilder","92"
"Illustrated Catalogue of  Cotton Machinery","Howard & Bullough American Machine Company","92"
"Aeroplane construction :  A handbook on the various methods and details of construction employed in the building of aeroplanes","Sydney Camm","92"
"Every-day Science: Volume 6. The Conquest of Nature","Henry Smith Williams and Edward Huntington Williams","91"
"The Library of Work and Play: Working in Metals","Charles Conrad Sleffel","91"
"Scientific American Supplement, No. 561, October 2, 1886","Various","91"
"Electricity","W. H. McCormick","91"
"Wireless Telegraphy and Telephony Simply Explained","Alfred Powell Morgan","91"
"Cutting and draping :  a practical handbook for upholsterers and decorators","John W. Stephenson","91"
"Up in the Clouds: Balloon Voyages","R. M. Ballantyne","91"
"Inventors","Philip Gengembre Hubert","90"
"Lasers","Hal Hellman","90"
"Model Flying Machines","Alfred Powell Morgan","90"
"A System of Easy Lettering","John Howard Cromwell","90"
"Gas and Petroleum Engines","H. de Graffigny","90"
"The Open Library","Brewster Kahle","90"
